"","residuals"
"1",1366463479.19542
"2",1366463639.64513
"3",1366463909.82525
"4",1366464014.32079
"5",1366464255.7079
"6",1366464464.00853
"7",1366464567.57457
"8",1366464703.15588
"9",1366464725.25561
"10",1366464816.26085
"11",1366464916.27638
"12",1366464919.74429
"13",1366464953.37455
"14",1366465005.40432
"15",1366465010.01884
"16",1366465023.49555
"17",1366465243.20025
"18",1366465248.10342
"19",1366465324.37157
"20",1366465615.32285
"21",1366465641.15143
"22",1366465647.29681
"23",1366465687.25224
"24",1366465835.83973
"25",1366465879.34561
"26",1366465963.12048
"27",1366466029.61652
"28",1366466045.38719
"29",1366466094.26901
"30",1366466102.13424
"31",1366466189.06097
"32",1366466203.00826
"33",1366466240.20158
"34",1366466242.86322
"35",1366466326.14396
"36",1366466388.14399
"37",1366466404.67068
"38",1366466415.56303
"39",1366466466.31791
"40",1366466468.41978
"41",1366466630.40568
"42",1366466643.85185
"43",1366466654.03594
"44",1366466654.24815
"45",1366466667.27604
"46",1366466690.4905
"47",1366466844.71388
"48",1366467031.3661
"49",1366467099.117
"50",1366467142.0354
"51",1366467164.81329
"52",1366467230.89007
"53",1366467462.2913
"54",1366467529.06614
"55",1366467592.27145
"56",1366467772.82828
"57",1366467836.89112
"58",1366467858.08894
"59",1366467969.1296
"60",1366467975.51346
"61",1366468112.86286
"62",1366468123.11882
"63",1366468140.28278
"64",1366468263.07216
"65",1366468426.25226
"66",1366468625.3254
"67",1366468710.51404
"68",1366468941.26921
"69",1366469265.05797
"70",1366469294.03794
"71",1366469327.20469
"72",1366469384.09555
"73",1366469482.11524
"74",1366469675.5237
"75",1366469688.035
"76",1366469711.18557
"77",1366469897.1543
"78",1366469901.03468
"79",1366470137.35172
"80",1366470141.88351
"81",1366470194.52244
"82",1366470406.03691
"83",1366470477.46535
"84",1366470529.16491
"85",1366470591.60602
"86",1366470838.07982
"87",1366470854.61326
"88",1366471017.87492
"89",1366471161.19152
"90",1366471326.77641
"91",1366471377.98683
"92",1366471594.34513
"93",1366471610.40763
"94",1366471625.76654
"95",1366471630.23751
"96",1366471817.07506
"97",1366471837.50684
"98",1366471848.29858
"99",1366471914.2191
"100",1366471916.75634
"101",1366471949.87045
"102",1366471981.98419
"103",1366472027.51349
"104",1366472102.98462
"105",1366472144.11792
"106",1366472291.91439
"107",1366472299.73725
"108",1366472311.72722
"109",1366472798.05442
"110",1366472948.71206
"111",1366473091.20672
"112",1366473225.02136
"113",1366473239.32311
"114",1366473281.45535
"115",1366473297.12057
"116",1366473421.67714
"117",1366473477.53726
"118",1366473506.72618
"119",1366473517.9547
"120",1366473528.70071
"121",1366473850.52181
"122",1366473998.40289
"123",1366474061.55425
"124",1366474106.23313
"125",1366474158.65512
"126",1366474419.29159
"127",1366474440.36107
"128",1366474447.68972
"129",1366474476.58548
"130",1366474491.17628
"131",1366474505.58378
"132",1366474558.15983
"133",1366474560.06294
"134",1366474620.56436
"135",1366474665.56462
"136",1366474697.90397
"137",1366474820.52488
"138",1366474830.58191
"139",1366474839.38758
"140",1366474862.80118
"141",1366474919.39449
"142",1366474931.43723
"143",1366474970.56473
"144",1366474985.55762
"145",1366475115.28923
"146",1366475118.67854
"147",1366475128.65063
"148",1366475200.49436
"149",1366475401.78128
"150",1366475406.04564
"151",1366475479.47689
"152",1366475498.3604
"153",1366475509.84684
"154",1366475518.98122
"155",1366475535.86123
"156",1366475668.36141
"157",1366475731.58909
"158",1366475758.80397
"159",1366475896.72034
"160",1366475958.08822
"161",1366475990.3814
"162",1366476017.9478
"163",1366476061.14156
"164",1366476085.23606
"165",1366476090.64437
"166",1366476112.23352
"167",1366476116.91442
"168",1366476146.93681
"169",1366476400.84177
"170",1366476550.36491
"171",1366476725.09
"172",1366476745.15947
"173",1366476751.83665
"174",1366476758.03254
"175",1366476919.6611
"176",1366476922.7434
"177",1366476932.05398
"178",1366477113.92908
"179",1366477291.51184
"180",1366477385.24347
"181",1366477402.61518
"182",1366477498.44574
"183",1366477630.24295
"184",1366477797.38057
"185",1366477904.26714
"186",1366477931.61782
"187",1366478163.63505
"188",1366478193.26828
"189",1366478287.23761
"190",1366478327.20016
"191",1366478336.20963
"192",1366478347.72045
"193",1366478363.77012
"194",1366478373.65931
"195",1366478481.49426
"196",1366478554.55106
"197",1366478626.40126
"198",1366478727.92603
"199",1366478736.97185
"200",1366478747.65554
"201",1366478874.49334
"202",1366478879.31506
"203",1366478887.10812
"204",1366478914.88933
"205",1366478939.60526
"206",1366479074.45987
"207",1366479094.578
"208",1366479137.32807
"209",1366479232.52106
"210",1366479250.23448
"211",1366479406.56789
"212",1366479423.80961
"213",1366479538.73185
"214",1366479552.12038
"215",1366479568.87044
"216",1366479582.62494
"217",1366479626.6776
"218",1366479810.62482
"219",1366479865.96582
"220",1366479873.23677
"221",1366479915.18937
"222",1366480183.01273
"223",1366480252.93544
"224",1366480474.53841
"225",1366480638.08965
"226",1366480658.1679
"227",1366480669.48008
"228",1366480706.85522
"229",1366480716.51733
"230",1366480951.00596
"231",1366481049.18681
"232",1366481061.22342
"233",1366481251.36872
"234",1366481303.90866
"235",1366481557.87439
"236",1366481568.62047
"237",1366481601.85545
"238",1366481744.32486
"239",1366481991.84315
"240",1366481993.75067
"241",1366482318.38045
"242",1366482417.5814
"243",1366482421.25774
"244",1366482455.44495
"245",1366482479.55737
"246",1366482845.0233
"247",1366483087.82936
"248",1366483369.15603
"249",1366483390.03147
"250",1366483415.56349
"251",1366483557.22237
"252",1366483705.01555
"253",1366483711.76104
"254",1366483717.15068
"255",1366483731.7113
"256",1366483748.96632
"257",1366483846.60914
"258",1366483957.19713
"259",1366484228.66986
"260",1366484333.07707
"261",1366484379.44824
"262",1366484470.04061
"263",1366484590.83686
"264",1366484620.58782
"265",1366484729.96398
"266",1366484770.41009
"267",1366484781.94645
"268",1366484822.5621
"269",1366484834.09262
"270",1366484842.72425
"271",1366485004.3531
"272",1366485117.82839
"273",1366485313.75022
"274",1366485355.2161
"275",1366485365.00499
"276",1366485379.76789
"277",1366485452.52411
"278",1366485528.04717
"279",1366485553.13473
"280",1366485563.6647
"281",1366485623.90421
"282",1366485644.74636
"283",1366485674.7122
"284",1366485723.18224
"285",1366485818.17691
"286",1366485849.27222
"287",1366485852.73785
"288",1366485967.18114
"289",1366485992.97164
"290",1366486056.11054
"291",1366486080.48684
"292",1366486102.08542
"293",1366486115.20534
"294",1366486213.0511
"295",1366486223.05489
"296",1366486283.82327
"297",1366486430.54928
"298",1366486446.4085
"299",1366486456.93321
"300",1366486467.90609
"301",1366486477.0387
"302",1366486498.42278
"303",1366486501.15006
"304",1366486503.42223
"305",1366486507.42562
"306",1366486514.18164
"307",1366486573.62809
"308",1366486639.86357
"309",1366486675.28636
"310",1366486679.71199
"311",1366486682.12059
"312",1366486730.71331
"313",1366486769.4799
"314",1366486792.95422
"315",1366486801.68983
"316",1366486825.94242
"317",1366486839.143
"318",1366486897.5045
"319",1366486930.2271
"320",1366486940.00383
"321",1366486945.85844
"322",1366486967.01388
"323",1366486997.57929
"324",1366487036.32036
"325",1366487039.54248
"326",1366487072.80527
"327",1366487212.56156
"328",1366487250.01273
"329",1366487283.2264
"330",1366487297.45479
"331",1366487298.15423
"332",1366487366.87158
"333",1366487400.23038
"334",1366487412.71494
"335",1366487412.73574
"336",1366487412.35847
"337",1366487439.15251
"338",1366487447.09987
"339",1366487487.56742
"340",1366487553.30579
"341",1366487568.41304
"342",1366487585.5906
"343",1366487595.7412
"344",1366487598.87095
"345",1366487634.88572
"346",1366487642.23114
"347",1366487703.52299
"348",1366487711.45351
"349",1366487769.39213
"350",1366487778.02192
